Job Id,Experience,Qualifications,Salary Range,location,Country,Work Type,Company Size,Preference,Job Title,Role,Company,Company Profile
981851940397954,3 to 10 Years,M.Com,$58K-$129K,Noumea,New Caledonia,Part-Time,35273,Female,Data Analyst,Business Intelligence Analyst,"Wyndham Hotels & Resorts, Inc.",Hospitality/Hotels
2853459439973158,0 to 9 Years,B.Tech,$56K-$125K,London,UK,Intern,58034,Male,Data Engineer,Data Architect,Equitable Holdings,Insurance
2447681687654738,2 to 12 Years,M.Com,$55K-$127K,Quito,Ecuador,Contract,18697,Female,Data Engineer,Big Data Engineer,"Fidelity Investments, Inc.",Financial Services/Investment Management
1431910295689572,1 to 8 Years,M.Tech,$65K-$90K,Port Moresby,Papua New Guinea,Part-Time,69645,Both,Data Engineer,Big Data Engineer,Lendlease Group,Real Estate/Construction
2149397187330318,5 to 8 Years,PhD,$58K-$128K,Suva,Fiji,Intern,97779,Female,Data Analyst,Data Scientist,AES,Utilities
114645271112371,2 to 11 Years,PhD,$65K-$105K,Chisinau,Moldova,Full-Time,31928,Male,Data Analyst,Data Scientist,Meta Platforms,Technology
1711635968135303,1 to 13 Years,MCA,$56K-$89K,Nairobi,Kenya,Part-Time,116690,Male,Data Analyst,Data Quality Analyst,Westinghouse Air Brake Technologies,Manufacturing
1140429647542292,4 to 9 Years,BA,$55K-$111K,Hagatna,Guam,Temporary,81941,Male,Data Scientist,Machine Learning Engineer,Victrex,Chemicals
3009534177258410,3 to 11 Years,M.Tech,$61K-$108K,City of Port Louis,Mauritius,Intern,60501,Female,Data Engineer,ETL Developer,Fresenius Medical Care AG & Co. KGaA,Healthcare
456051058282635,5 to 9 Years,BBA,$59K-$100K,Nouakchott,Mauritania,Contract,54583,Female,Data Analyst,Business Intelligence Analyst,Tata Steel,Steel & Metals
106369463019998,4 to 9 Years,BCA,$62K-$129K,Bern,Switzerland,Temporary,134481,Male,Data Analyst,Business Intelligence Analyst,DuPont,Manufacturing
1922205585564707,1 to 10 Years,M.Tech,$64K-$119K,Maputo,Mozambique,Temporary,62790,Male,Data Engineer,Data Architect,Burberry Group,Fashion and Apparel
2065918178830657,5 to 8 Years,M.Tech,$60K-$88K,Mbabane,Eswatini,Intern,59831,Both,Data Engineer,ETL Developer,International Business Machines,Technology
17637322620995,5 to 11 Years,B.Tech,$57K-$107K,Moscow,Russia,Full-Time,44381,Both,Data Analyst,Data Scientist,CNOOC (China National Offshore Oil Corporation),Oil and Gas
1263243667540296,4 to 11 Years,PhD,$61K-$103K,Bern,Switzerland,Contract,23709,Both,Data Engineer,Big Data Engineer,DTE Energy,Utilities
